33400,8.45
29200,8.45
24800,8.49
20400,8.24
86100,7.91
172800,7.49
92100,7.37
49200,7.12
45600,7.41
24900,7.45
42800,7.41
11000,7.41
44400,7.2
78800,6.91
495200,6.29
66400,6.38
166500,6.87
87800,6.62
58200,6.5
63800,6.29
36200,6.42
108400,6.13
133400,6.05
33200,6.21
46800,6.46
54600,6.62
24000,6.46
29800,6.05
79800,5.8
86600,5.96
51900,5.84
145800,5.3
84000,5.34
216600,5.3
114200,5.22
56000,5.22
65700,5.09
107100,4.76
463500,4.31
141000,4.26
75400,4.31
228000,3.81
101600,4.1
320800,4.93
323800,4.68
100000,4.84
150400,4.68
150900,4.6
152200,4.68
98000,4.84
66800,4.8
98800,4.55
86800,4.72
112400,5.05
108400,4.68
54000,4.47
43800,4.43
66900,4.76
36600,4.55
25500,4.47
39400,4.39
38700,4.39
61000,4.39
83800,4.6
43200,4.47
42800,4.39
